"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2730","Registration with correct email, username and password","LMS system","Sun May 17 08:42:45 UTC 2026","passed","Sun May 17 08:42:48 UTC 2026","Registration","Authentication","",""
"","2224","User login with wrong email or password","LMS system","Sun May 17 08:42:24 UTC 2026","passed","Sun May 17 08:42:26 UTC 2026","Authorization","Authentication","",""
"","1900","Registration with correct email, username and password","LMS system","Sun May 17 08:42:50 UTC 2026","passed","Sun May 17 08:42:51 UTC 2026","Registration","Authentication","",""
"","2079","Edit course","LMS system","Sun May 17 08:43:04 UTC 2026","broken","Sun May 17 08:43:06 UTC 2026","Courses","Courses","",""
"","3991","User login with correct email and password","LMS system","Sun May 17 08:42:28 UTC 2026","passed","Sun May 17 08:42:32 UTC 2026","Authorization","Authentication","",""
"","1529","User login with wrong email or password","LMS system","Sun May 17 08:42:19 UTC 2026","passed","Sun May 17 08:42:21 UTC 2026","Authorization","Authentication","",""
"","1727","Check displaying of dashboard page","LMS system","Sun May 17 08:43:10 UTC 2026","passed","Sun May 17 08:43:12 UTC 2026","Dashboard","Dashboard","",""
"","1635","User login with wrong email or password","LMS system","Sun May 17 08:42:25 UTC 2026","passed","Sun May 17 08:42:27 UTC 2026","Authorization","Authentication","",""
"","1830","User login with wrong email or password","LMS system","Sun May 17 08:42:29 UTC 2026","passed","Sun May 17 08:42:31 UTC 2026","Authorization","Authentication","",""
"","1822","Navigation from login page to registration page","LMS system","Sun May 17 08:42:33 UTC 2026","passed","Sun May 17 08:42:35 UTC 2026","Authorization","Authentication","",""
"","1490","Create course","LMS system","Sun May 17 08:43:00 UTC 2026","broken","Sun May 17 08:43:01 UTC 2026","Courses","Courses","",""
"","1726","User login with wrong email or password","LMS system","Sun May 17 08:42:20 UTC 2026","passed","Sun May 17 08:42:22 UTC 2026","Authorization","Authentication","",""
"","2102","Navigation from login page to registration page","LMS system","Sun May 17 08:42:39 UTC 2026","passed","Sun May 17 08:42:41 UTC 2026","Authorization","Authentication","",""
"","1708","Edit course","LMS system","Sun May 17 08:42:59 UTC 2026","broken","Sun May 17 08:43:01 UTC 2026","Courses","Courses","",""
"","1694","User login with wrong email or password","LMS system","Sun May 17 08:42:33 UTC 2026","passed","Sun May 17 08:42:34 UTC 2026","Authorization","Authentication","",""
"","1917","Create course","LMS system","Sun May 17 08:42:57 UTC 2026","broken","Sun May 17 08:42:59 UTC 2026","Courses","Courses","",""
"","2131","Check displaying of dashboard page","LMS system","Sun May 17 08:43:06 UTC 2026","passed","Sun May 17 08:43:08 UTC 2026","Dashboard","Dashboard","",""
"","1570","Create course","LMS system","Sun May 17 08:42:56 UTC 2026","broken","Sun May 17 08:42:58 UTC 2026","Courses","Courses","",""
"","2077","Check displaying of dashboard page","LMS system","Sun May 17 08:43:07 UTC 2026","passed","Sun May 17 08:43:09 UTC 2026","Dashboard","Dashboard","",""
"","1734","User login with wrong email or password","LMS system","Sun May 17 08:42:23 UTC 2026","passed","Sun May 17 08:42:24 UTC 2026","Authorization","Authentication","",""
"","1709","Edit course","LMS system","Sun May 17 08:43:03 UTC 2026","broken","Sun May 17 08:43:05 UTC 2026","Courses","Courses","",""
"","1634","User login with wrong email or password","LMS system","Sun May 17 08:42:17 UTC 2026","passed","Sun May 17 08:42:19 UTC 2026","Authorization","Authentication","",""
"","1452","Check displaying of empty courses list","LMS system","Sun May 17 08:42:51 UTC 2026","passed","Sun May 17 08:42:52 UTC 2026","Courses","Courses","",""
"","1848","Check displaying of empty courses list","LMS system","Sun May 17 08:42:54 UTC 2026","passed","Sun May 17 08:42:56 UTC 2026","Courses","Courses","",""
"","2675","User login with correct email and password","LMS system","Sun May 17 08:42:35 UTC 2026","passed","Sun May 17 08:42:38 UTC 2026","Authorization","Authentication","",""
"","1794","User login with wrong email or password","LMS system","Sun May 17 08:42:21 UTC 2026","passed","Sun May 17 08:42:23 UTC 2026","Authorization","Authentication","",""
"","2081","Registration with correct email, username and password","LMS system","Sun May 17 08:42:42 UTC 2026","passed","Sun May 17 08:42:44 UTC 2026","Registration","Authentication","",""
"","9373","User login with correct email and password","LMS system","Sun May 17 08:42:38 UTC 2026","passed","Sun May 17 08:42:48 UTC 2026","Authorization","Authentication","",""
"","1681","Check displaying of empty courses list","LMS system","Sun May 17 08:42:54 UTC 2026","passed","Sun May 17 08:42:56 UTC 2026","Courses","Courses","",""
"","1512","Navigation from login page to registration page","LMS system","Sun May 17 08:42:36 UTC 2026","passed","Sun May 17 08:42:37 UTC 2026","Authorization","Authentication","",""
