"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1540","Check displaying of empty courses list","LMS system","Sun May 17 08:51:26 UTC 2026","passed","Sun May 17 08:51:27 UTC 2026","Courses","Courses","",""
"","2728","Create course","LMS system","Sun May 17 08:51:31 UTC 2026","passed","Sun May 17 08:51:33 UTC 2026","Courses","Courses","",""
"","2845","User login with correct email and password","LMS system","Sun May 17 08:51:10 UTC 2026","passed","Sun May 17 08:51:12 UTC 2026","Authorization","Authentication","",""
"","8587","User login with correct email and password","LMS system","Sun May 17 08:51:13 UTC 2026","passed","Sun May 17 08:51:22 UTC 2026","Authorization","Authentication","",""
"","1837","User login with wrong email or password","LMS system","Sun May 17 08:51:03 UTC 2026","passed","Sun May 17 08:51:04 UTC 2026","Authorization","Authentication","",""
"","1558","User login with wrong email or password","LMS system","Sun May 17 08:50:51 UTC 2026","passed","Sun May 17 08:50:53 UTC 2026","Authorization","Authentication","",""
"","1821","User login with wrong email or password","LMS system","Sun May 17 08:51:07 UTC 2026","passed","Sun May 17 08:51:09 UTC 2026","Authorization","Authentication","",""
"","5142","Edit course","LMS system","Sun May 17 08:51:40 UTC 2026","passed","Sun May 17 08:51:45 UTC 2026","Courses","Courses","",""
"","1608","User login with wrong email or password","LMS system","Sun May 17 08:51:00 UTC 2026","passed","Sun May 17 08:51:01 UTC 2026","Authorization","Authentication","",""
"","1775","User login with wrong email or password","LMS system","Sun May 17 08:50:55 UTC 2026","passed","Sun May 17 08:50:56 UTC 2026","Authorization","Authentication","",""
"","1694","Check displaying of empty courses list","LMS system","Sun May 17 08:51:29 UTC 2026","passed","Sun May 17 08:51:31 UTC 2026","Courses","Courses","",""
"","2351","Registration with correct email, username and password","LMS system","Sun May 17 08:51:20 UTC 2026","passed","Sun May 17 08:51:23 UTC 2026","Registration","Authentication","",""
"","1413","User login with wrong email or password","LMS system","Sun May 17 08:50:53 UTC 2026","passed","Sun May 17 08:50:54 UTC 2026","Authorization","Authentication","",""
"","2092","Check displaying of dashboard page","LMS system","Sun May 17 08:51:45 UTC 2026","passed","Sun May 17 08:51:47 UTC 2026","Dashboard","Dashboard","",""
"","2391","Registration with correct email, username and password","LMS system","Sun May 17 08:51:17 UTC 2026","passed","Sun May 17 08:51:20 UTC 2026","Registration","Authentication","",""
"","3269","User login with correct email and password","LMS system","Sun May 17 08:51:03 UTC 2026","passed","Sun May 17 08:51:06 UTC 2026","Authorization","Authentication","",""
"","1707","Check displaying of dashboard page","LMS system","Sun May 17 08:51:49 UTC 2026","passed","Sun May 17 08:51:51 UTC 2026","Dashboard","Dashboard","",""
"","1670","Check displaying of empty courses list","LMS system","Sun May 17 08:51:29 UTC 2026","passed","Sun May 17 08:51:30 UTC 2026","Courses","Courses","",""
"","2107","Registration with correct email, username and password","LMS system","Sun May 17 08:51:24 UTC 2026","passed","Sun May 17 08:51:26 UTC 2026","Registration","Authentication","",""
"","1575","Navigation from login page to registration page","LMS system","Sun May 17 08:51:08 UTC 2026","passed","Sun May 17 08:51:09 UTC 2026","Authorization","Authentication","",""
"","1592","User login with wrong email or password","LMS system","Sun May 17 08:50:57 UTC 2026","passed","Sun May 17 08:50:59 UTC 2026","Authorization","Authentication","",""
"","2762","Create course","LMS system","Sun May 17 08:51:36 UTC 2026","passed","Sun May 17 08:51:38 UTC 2026","Courses","Courses","",""
"","2156","Navigation from login page to registration page","LMS system","Sun May 17 08:51:13 UTC 2026","passed","Sun May 17 08:51:15 UTC 2026","Authorization","Authentication","",""
"","2735","Create course","LMS system","Sun May 17 08:51:32 UTC 2026","passed","Sun May 17 08:51:35 UTC 2026","Courses","Courses","",""
"","3639","Edit course","LMS system","Sun May 17 08:51:40 UTC 2026","passed","Sun May 17 08:51:44 UTC 2026","Courses","Courses","",""
"","2201","Check displaying of dashboard page","LMS system","Sun May 17 08:51:46 UTC 2026","passed","Sun May 17 08:51:48 UTC 2026","Dashboard","Dashboard","",""
"","2922","Edit course","LMS system","Sun May 17 08:51:35 UTC 2026","passed","Sun May 17 08:51:38 UTC 2026","Courses","Courses","",""
"","2550","User login with wrong email or password","LMS system","Sun May 17 08:50:58 UTC 2026","passed","Sun May 17 08:51:00 UTC 2026","Authorization","Authentication","",""
"","1751","User login with wrong email or password","LMS system","Sun May 17 08:50:55 UTC 2026","passed","Sun May 17 08:50:56 UTC 2026","Authorization","Authentication","",""
"","1352","Navigation from login page to registration page","LMS system","Sun May 17 08:51:10 UTC 2026","passed","Sun May 17 08:51:11 UTC 2026","Authorization","Authentication","",""
