"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2792","User login with correct email and password","LMS system","Sun May 17 08:33:19 UTC 2026","passed","Sun May 17 08:33:21 UTC 2026","Authorization","Authentication","",""
"","2548","Registration with correct email, username and password","LMS system","Sun May 17 08:33:27 UTC 2026","passed","Sun May 17 08:33:30 UTC 2026","Registration","Authentication","",""
"","2504","Create course","LMS system","Sun May 17 08:33:43 UTC 2026","passed","Sun May 17 08:33:46 UTC 2026","Courses","Courses","",""
"","1760","User login with wrong email or password","LMS system","Sun May 17 08:33:01 UTC 2026","passed","Sun May 17 08:33:02 UTC 2026","Authorization","Authentication","",""
"","1542","User login with wrong email or password","LMS system","Sun May 17 08:33:03 UTC 2026","passed","Sun May 17 08:33:04 UTC 2026","Authorization","Authentication","",""
"","1407","Check displaying of empty courses list","LMS system","Sun May 17 08:33:36 UTC 2026","passed","Sun May 17 08:33:37 UTC 2026","Courses","Courses","",""
"","1496","Navigation from login page to registration page","LMS system","Sun May 17 08:33:18 UTC 2026","passed","Sun May 17 08:33:19 UTC 2026","Authorization","Authentication","",""
"","3717","Edit course","LMS system","Sun May 17 08:33:52 UTC 2026","passed","Sun May 17 08:33:55 UTC 2026","Courses","Courses","",""
"","2295","Registration with correct email, username and password","LMS system","Sun May 17 08:33:34 UTC 2026","passed","Sun May 17 08:33:37 UTC 2026","Registration","Authentication","",""
"","3246","Edit course","LMS system","Sun May 17 08:33:46 UTC 2026","passed","Sun May 17 08:33:49 UTC 2026","Courses","Courses","",""
"","3795","User login with correct email and password","LMS system","Sun May 17 08:33:13 UTC 2026","passed","Sun May 17 08:33:17 UTC 2026","Authorization","Authentication","",""
"","1818","User login with wrong email or password","LMS system","Sun May 17 08:32:59 UTC 2026","passed","Sun May 17 08:33:00 UTC 2026","Authorization","Authentication","",""
"","2179","User login with wrong email or password","LMS system","Sun May 17 08:33:16 UTC 2026","passed","Sun May 17 08:33:18 UTC 2026","Authorization","Authentication","",""
"","5473","Edit course","LMS system","Sun May 17 08:33:51 UTC 2026","passed","Sun May 17 08:33:57 UTC 2026","Courses","Courses","",""
"","2637","Create course","LMS system","Sun May 17 08:33:42 UTC 2026","passed","Sun May 17 08:33:44 UTC 2026","Courses","Courses","",""
"","2882","Check displaying of empty courses list","LMS system","Sun May 17 08:33:39 UTC 2026","passed","Sun May 17 08:33:42 UTC 2026","Courses","Courses","",""
"","2613","Navigation from login page to registration page","LMS system","Sun May 17 08:33:23 UTC 2026","passed","Sun May 17 08:33:26 UTC 2026","Authorization","Authentication","",""
"","2639","Registration with correct email, username and password","LMS system","Sun May 17 08:33:30 UTC 2026","passed","Sun May 17 08:33:33 UTC 2026","Registration","Authentication","",""
"","2363","Check displaying of dashboard page","LMS system","Sun May 17 08:33:57 UTC 2026","passed","Sun May 17 08:33:59 UTC 2026","Dashboard","Dashboard","",""
"","1704","Navigation from login page to registration page","LMS system","Sun May 17 08:33:20 UTC 2026","passed","Sun May 17 08:33:21 UTC 2026","Authorization","Authentication","",""
"","1824","Check displaying of dashboard page","LMS system","Sun May 17 08:34:01 UTC 2026","passed","Sun May 17 08:34:03 UTC 2026","Dashboard","Dashboard","",""
"","10338","User login with correct email and password","LMS system","Sun May 17 08:33:22 UTC 2026","passed","Sun May 17 08:33:32 UTC 2026","Authorization","Authentication","",""
"","2471","User login with wrong email or password","LMS system","Sun May 17 08:33:06 UTC 2026","passed","Sun May 17 08:33:08 UTC 2026","Authorization","Authentication","",""
"","1832","Check displaying of dashboard page","LMS system","Sun May 17 08:33:58 UTC 2026","passed","Sun May 17 08:34:00 UTC 2026","Dashboard","Dashboard","",""
"","1974","User login with wrong email or password","LMS system","Sun May 17 08:33:04 UTC 2026","passed","Sun May 17 08:33:06 UTC 2026","Authorization","Authentication","",""
"","1762","User login with wrong email or password","LMS system","Sun May 17 08:33:07 UTC 2026","passed","Sun May 17 08:33:08 UTC 2026","Authorization","Authentication","",""
"","2294","User login with wrong email or password","LMS system","Sun May 17 08:33:11 UTC 2026","passed","Sun May 17 08:33:13 UTC 2026","Authorization","Authentication","",""
"","3095","Create course","LMS system","Sun May 17 08:33:47 UTC 2026","passed","Sun May 17 08:33:50 UTC 2026","Courses","Courses","",""
"","1732","User login with wrong email or password","LMS system","Sun May 17 08:33:09 UTC 2026","passed","Sun May 17 08:33:11 UTC 2026","Authorization","Authentication","",""
"","1656","Check displaying of empty courses list","LMS system","Sun May 17 08:33:39 UTC 2026","passed","Sun May 17 08:33:41 UTC 2026","Courses","Courses","",""
