"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1901","Navigation from login page to registration page","LMS system","Sat May 16 11:40:35 UTC 2026","passed","Sat May 16 11:40:37 UTC 2026","Authorization","Authentication","",""
"","2157","Check displaying of dashboard page","LMS system","Sat May 16 11:41:08 UTC 2026","passed","Sat May 16 11:41:10 UTC 2026","Dashboard","Dashboard","",""
"","2822","Edit course","LMS system","Sat May 16 11:40:58 UTC 2026","passed","Sat May 16 11:41:01 UTC 2026","Courses","Courses","",""
"","1891","Check displaying of empty courses list","LMS system","Sat May 16 11:40:51 UTC 2026","passed","Sat May 16 11:40:53 UTC 2026","Courses","Courses","",""
"","2106","Registration with correct email, username and password","LMS system","Sat May 16 11:40:51 UTC 2026","passed","Sat May 16 11:40:53 UTC 2026","Registration","Authentication","",""
"","2010","Registration with correct email, username and password","LMS system","Sat May 16 11:40:48 UTC 2026","passed","Sat May 16 11:40:50 UTC 2026","Registration","Authentication","",""
"","1419","User login with wrong email or password","LMS system","Sat May 16 11:40:14 UTC 2026","passed","Sat May 16 11:40:15 UTC 2026","Authorization","Authentication","",""
"","2010","User login with wrong email or password","LMS system","Sat May 16 11:40:27 UTC 2026","passed","Sat May 16 11:40:29 UTC 2026","Authorization","Authentication","",""
"","1585","User login with wrong email or password","LMS system","Sat May 16 11:40:25 UTC 2026","passed","Sat May 16 11:40:26 UTC 2026","Authorization","Authentication","",""
"","2628","Registration with correct email, username and password","LMS system","Sat May 16 11:40:39 UTC 2026","passed","Sat May 16 11:40:41 UTC 2026","Registration","Authentication","",""
"","2497","Create course","LMS system","Sat May 16 11:40:54 UTC 2026","passed","Sat May 16 11:40:56 UTC 2026","Courses","Courses","",""
"","2654","Create course","LMS system","Sat May 16 11:40:59 UTC 2026","passed","Sat May 16 11:41:01 UTC 2026","Courses","Courses","",""
"","3338","Edit course","LMS system","Sat May 16 11:41:03 UTC 2026","passed","Sat May 16 11:41:07 UTC 2026","Courses","Courses","",""
"","2613","Navigation from login page to registration page","LMS system","Sat May 16 11:40:45 UTC 2026","passed","Sat May 16 11:40:47 UTC 2026","Authorization","Authentication","",""
"","5338","Edit course","LMS system","Sat May 16 11:41:03 UTC 2026","passed","Sat May 16 11:41:08 UTC 2026","Courses","Courses","",""
"","2187","Check displaying of dashboard page","LMS system","Sat May 16 11:41:09 UTC 2026","passed","Sat May 16 11:41:11 UTC 2026","Dashboard","Dashboard","",""
"","1536","Check displaying of empty courses list","LMS system","Sat May 16 11:40:47 UTC 2026","passed","Sat May 16 11:40:49 UTC 2026","Courses","Courses","",""
"","1834","User login with wrong email or password","LMS system","Sat May 16 11:40:22 UTC 2026","passed","Sat May 16 11:40:24 UTC 2026","Authorization","Authentication","",""
"","1727","User login with wrong email or password","LMS system","Sat May 16 11:40:12 UTC 2026","passed","Sat May 16 11:40:14 UTC 2026","Authorization","Authentication","",""
"","1469","Navigation from login page to registration page","LMS system","Sat May 16 11:40:33 UTC 2026","passed","Sat May 16 11:40:34 UTC 2026","Authorization","Authentication","",""
"","10023","User login with correct email and password","LMS system","Sat May 16 11:40:33 UTC 2026","passed","Sat May 16 11:40:43 UTC 2026","Authorization","Authentication","",""
"","2033","User login with wrong email or password","LMS system","Sat May 16 11:40:19 UTC 2026","passed","Sat May 16 11:40:21 UTC 2026","Authorization","Authentication","",""
"","1774","User login with wrong email or password","LMS system","Sat May 16 11:40:18 UTC 2026","passed","Sat May 16 11:40:20 UTC 2026","Authorization","Authentication","",""
"","2738","User login with correct email and password","LMS system","Sat May 16 11:40:30 UTC 2026","passed","Sat May 16 11:40:33 UTC 2026","Authorization","Authentication","",""
"","2196","User login with wrong email or password","LMS system","Sat May 16 11:40:22 UTC 2026","passed","Sat May 16 11:40:24 UTC 2026","Authorization","Authentication","",""
"","1600","Check displaying of empty courses list","LMS system","Sat May 16 11:40:45 UTC 2026","passed","Sat May 16 11:40:46 UTC 2026","Courses","Courses","",""
"","1433","User login with wrong email or password","LMS system","Sat May 16 11:40:16 UTC 2026","passed","Sat May 16 11:40:17 UTC 2026","Authorization","Authentication","",""
"","2580","Create course","LMS system","Sat May 16 11:40:55 UTC 2026","passed","Sat May 16 11:40:58 UTC 2026","Courses","Courses","",""
"","3329","User login with correct email and password","LMS system","Sat May 16 11:40:28 UTC 2026","passed","Sat May 16 11:40:31 UTC 2026","Authorization","Authentication","",""
"","1588","Check displaying of dashboard page","LMS system","Sat May 16 11:41:12 UTC 2026","passed","Sat May 16 11:41:14 UTC 2026","Dashboard","Dashboard","",""
