"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1670","Check displaying of empty courses list","LMS system","Sat May 16 10:21:57 UTC 2026","passed","Sat May 16 10:21:58 UTC 2026","Courses","Courses","",""
"","2948","Create course","LMS system","Sat May 16 10:21:59 UTC 2026","passed","Sat May 16 10:22:02 UTC 2026","Courses","Courses","",""
"","1551","Check displaying of empty courses list","LMS system","Sat May 16 10:21:57 UTC 2026","passed","Sat May 16 10:21:59 UTC 2026","Courses","Courses","",""
"","1808","User login with wrong email or password","LMS system","Sat May 16 10:21:28 UTC 2026","passed","Sat May 16 10:21:29 UTC 2026","Authorization","Authentication","",""
"","2021","Check displaying of dashboard page","LMS system","Sat May 16 10:22:12 UTC 2026","passed","Sat May 16 10:22:14 UTC 2026","Dashboard","Dashboard","",""
"","4852","Edit course","LMS system","Sat May 16 10:22:09 UTC 2026","passed","Sat May 16 10:22:14 UTC 2026","Courses","Courses","",""
"","2156","User login with wrong email or password","LMS system","Sat May 16 10:21:30 UTC 2026","passed","Sat May 16 10:21:33 UTC 2026","Authorization","Authentication","",""
"","10086","User login with correct email and password","LMS system","Sat May 16 10:21:41 UTC 2026","passed","Sat May 16 10:21:51 UTC 2026","Authorization","Authentication","",""
"","1671","User login with wrong email or password","LMS system","Sat May 16 10:21:25 UTC 2026","passed","Sat May 16 10:21:27 UTC 2026","Authorization","Authentication","",""
"","1644","Navigation from login page to registration page","LMS system","Sat May 16 10:21:35 UTC 2026","passed","Sat May 16 10:21:37 UTC 2026","Authorization","Authentication","",""
"","1512","User login with wrong email or password","LMS system","Sat May 16 10:21:21 UTC 2026","passed","Sat May 16 10:21:23 UTC 2026","Authorization","Authentication","",""
"","3109","Edit course","LMS system","Sat May 16 10:22:03 UTC 2026","passed","Sat May 16 10:22:06 UTC 2026","Courses","Courses","",""
"","1590","Check displaying of dashboard page","LMS system","Sat May 16 10:22:17 UTC 2026","passed","Sat May 16 10:22:19 UTC 2026","Dashboard","Dashboard","",""
"","1493","User login with wrong email or password","LMS system","Sat May 16 10:21:19 UTC 2026","passed","Sat May 16 10:21:21 UTC 2026","Authorization","Authentication","",""
"","1702","User login with wrong email or password","LMS system","Sat May 16 10:21:26 UTC 2026","passed","Sat May 16 10:21:28 UTC 2026","Authorization","Authentication","",""
"","1961","Registration with correct email, username and password","LMS system","Sat May 16 10:21:53 UTC 2026","passed","Sat May 16 10:21:55 UTC 2026","Registration","Authentication","",""
"","3178","User login with correct email and password","LMS system","Sat May 16 10:21:31 UTC 2026","passed","Sat May 16 10:21:34 UTC 2026","Authorization","Authentication","",""
"","1839","User login with wrong email or password","LMS system","Sat May 16 10:21:35 UTC 2026","passed","Sat May 16 10:21:37 UTC 2026","Authorization","Authentication","",""
"","1393","Navigation from login page to registration page","LMS system","Sat May 16 10:21:37 UTC 2026","passed","Sat May 16 10:21:39 UTC 2026","Authorization","Authentication","",""
"","1914","Check displaying of dashboard page","LMS system","Sat May 16 10:22:15 UTC 2026","passed","Sat May 16 10:22:16 UTC 2026","Dashboard","Dashboard","",""
"","2070","Registration with correct email, username and password","LMS system","Sat May 16 10:21:45 UTC 2026","passed","Sat May 16 10:21:47 UTC 2026","Registration","Authentication","",""
"","1913","User login with wrong email or password","LMS system","Sat May 16 10:21:22 UTC 2026","passed","Sat May 16 10:21:24 UTC 2026","Authorization","Authentication","",""
"","1799","User login with wrong email or password","LMS system","Sat May 16 10:21:23 UTC 2026","passed","Sat May 16 10:21:25 UTC 2026","Authorization","Authentication","",""
"","1645","Navigation from login page to registration page","LMS system","Sat May 16 10:21:41 UTC 2026","passed","Sat May 16 10:21:43 UTC 2026","Authorization","Authentication","",""
"","2334","User login with correct email and password","LMS system","Sat May 16 10:21:38 UTC 2026","passed","Sat May 16 10:21:40 UTC 2026","Authorization","Authentication","",""
"","3598","Edit course","LMS system","Sat May 16 10:22:08 UTC 2026","passed","Sat May 16 10:22:11 UTC 2026","Courses","Courses","",""
"","1593","Check displaying of empty courses list","LMS system","Sat May 16 10:21:53 UTC 2026","passed","Sat May 16 10:21:55 UTC 2026","Courses","Courses","",""
"","3029","Create course","LMS system","Sat May 16 10:22:04 UTC 2026","passed","Sat May 16 10:22:07 UTC 2026","Courses","Courses","",""
"","2509","Create course","LMS system","Sat May 16 10:21:59 UTC 2026","passed","Sat May 16 10:22:02 UTC 2026","Courses","Courses","",""
"","2348","Registration with correct email, username and password","LMS system","Sat May 16 10:21:48 UTC 2026","passed","Sat May 16 10:21:50 UTC 2026","Registration","Authentication","",""
